2026-03-30 20:26:12 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:26:12 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:26:12 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:26:12 |     INFO | response_formatter.py:145 | Formatage du plan d'action pour Test Company
2026-03-30 20:26:12 |     INFO | response_formatter.py:170 | Plan d'action structuré avec succès
2026-03-30 20:26:12 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:26:12 |  WARNING | response_formatter.py:195 | Section non trouvée: points?\s+faibles?
2026-03-30 20:26:12 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:26:12 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:28:01 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:28:01 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:28:01 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:28:01 |     INFO | response_formatter.py:145 | Formatage du plan d'action pour Test Company
2026-03-30 20:28:01 |     INFO | response_formatter.py:170 | Plan d'action structuré avec succès
2026-03-30 20:28:01 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:28:01 |  WARNING | response_formatter.py:195 | Section non trouvée: points?\s+faibles?
2026-03-30 20:28:01 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:28:01 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:28:38 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:28:38 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:28:38 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:28:38 |     INFO | response_formatter.py:145 | Formatage du plan d'action pour Test Company
2026-03-30 20:28:38 |     INFO | response_formatter.py:170 | Plan d'action structuré avec succès
2026-03-30 20:28:38 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:28:38 |  WARNING | response_formatter.py:195 | Section non trouvée: points?\s+faibles?
2026-03-30 20:28:38 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:28:38 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:29:03 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:29:03 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:29:03 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:29:03 |     INFO | response_formatter.py:145 | Formatage du plan d'action pour Test Company
2026-03-30 20:29:03 |     INFO | response_formatter.py:170 | Plan d'action structuré avec succès
2026-03-30 20:29:03 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:29:03 |  WARNING | response_formatter.py:195 | Section non trouvée: points?\s+faibles?
2026-03-30 20:29:03 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:29:03 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:29:38 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:29:38 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:29:38 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:29:38 |     INFO | response_formatter.py:145 | Formatage du plan d'action pour Test Company
2026-03-30 20:29:38 |     INFO | response_formatter.py:170 | Plan d'action structuré avec succès
2026-03-30 20:29:38 |     INFO | response_formatter.py:107 | Formatage de la réponse diagnostic pour Test Company
2026-03-30 20:29:38 |  WARNING | response_formatter.py:195 | Section non trouvée: points?\s+faibles?
2026-03-30 20:29:38 |  WARNING | response_formatter.py:195 | Section non trouvée: opportunit[éè]es?
2026-03-30 20:29:38 |     INFO | response_formatter.py:129 | Diagnostic structuré avec succès
2026-03-30 20:36:22 |     INFO | text_cleaner.py:49 | Nettoyage du texte brut Gemini...
2026-03-30 20:36:22 |     INFO | text_cleaner.py:72 | Texte nettoyé avec succès
