2026-04-11 01:02:45 |  WARNING | diagnostic_engine.py:64 | prompts.prompt_diagnostic absent → fallback intégré utilisé
2026-04-11 01:16:44 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:16:44 |    ERROR | gemini_analyzer.py:118 | Groq client non initialisé
2026-04-11 01:22:21 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:22:21 |    ERROR | gemini_analyzer.py:118 | Groq client non initialisé
2026-04-11 01:24:13 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:24:15 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 2640 caractères
2026-04-11 01:24:56 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:24:56 |    ERROR | gemini_analyzer.py:118 | Groq client non initialisé
2026-04-11 01:26:42 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:26:44 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1974 caractères
2026-04-11 01:27:41 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:27:42 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1879 caractères
2026-04-11 01:28:14 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:28:15 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1831 caractères
2026-04-11 01:33:14 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:33:15 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1969 caractères
2026-04-11 01:33:53 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:33:54 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1644 caractères
2026-04-11 01:36:12 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:36:13 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1811 caractères
2026-04-11 01:40:14 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:40:16 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 2019 caractères
2026-04-11 01:43:18 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:43:19 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 2021 caractères
2026-04-11 01:47:22 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:47:23 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1741 caractères
2026-04-11 01:50:19 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:50:20 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1749 caractères
2026-04-11 01:53:28 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:53:30 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1733 caractères
2026-04-11 01:57:14 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:57:15 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1818 caractères
2026-04-11 01:59:57 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour Apple avec Groq...
2026-04-11 01:59:59 |     INFO | gemini_analyzer.py:129 | [PLAN OK] Apple → 1984 caractères
