2026-04-16 00:07:41 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour maram avec Groq...
2026-04-16 00:07:41 |    ERROR | gemini_analyzer.py:104 | [SWOT ERREUR] maram: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98029, Requested 2380. Please try again in 5m53.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:07:41 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour maram avec Groq...
2026-04-16 00:07:42 |    ERROR | gemini_analyzer.py:160 | [PLAN ERREUR] maram: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98029, Requested 3011. Please try again in 14m58.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:08:16 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour danone avec Groq...
2026-04-16 00:08:18 |     INFO | gemini_analyzer.py:101 | [SWOT OK] danone → 2034 caractères
2026-04-16 00:08:18 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour danone avec Groq...
2026-04-16 00:08:18 |    ERROR | gemini_analyzer.py:160 | [PLAN ERREUR] danone: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99817, Requested 1577. Please try again in 20m4.416s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:08:19 |    ERROR | gemini_analyzer.py:192 | Rating erreur: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99817, Requested 1047. Please try again in 12m26.496s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:08:41 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour apple avec Groq...
2026-04-16 00:08:42 |    ERROR | gemini_analyzer.py:104 | [SWOT ERREUR] apple: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99791, Requested 2340. Please try again in 30m41.184s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:08:42 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour apple avec Groq...
2026-04-16 00:08:42 |    ERROR | gemini_analyzer.py:160 | [PLAN ERREUR] apple: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99790, Requested 3044. Please try again in 40m48.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:08:42 |    ERROR | gemini_analyzer.py:192 | Rating erreur: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99790, Requested 1278. Please try again in 15m22.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:12:08 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour maram avec Groq...
2026-04-16 00:12:08 |    ERROR | gemini_analyzer.py:104 | [SWOT ERREUR] maram: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99551, Requested 2380. Please try again in 27m48.384s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:12:08 |     INFO | gemini_analyzer.py:143 | [PLAN] Génération pour maram avec Groq...
2026-04-16 00:12:09 |    ERROR | gemini_analyzer.py:160 | [PLAN ERREUR] maram: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99551, Requested 1526. Please try again in 15m30.528s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:12:09 |    ERROR | gemini_analyzer.py:192 | Rating erreur: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01knf48fkbevxb2g4a4mdqhjp2` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99551, Requested 744. Please try again in 4m14.88s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-04-16 00:12:21 |     INFO | gemini_analyzer.py:87 | [SWOT] Génération pour apple avec Groq...
